date,team,rating
2004-09-18,Olympique Club De Khouribga,1510
2004-09-18,Mouloudia Oujda,1490
2004-09-18,Raja Club Athletic,1516
2004-09-18,AS Sale,1485
2004-09-18,Chabab Mohammedia,1510
2004-09-18,Olympique Club de Safi,1490
2004-09-18,Hassania Union Sport Agadir,1496
2004-09-18,Kawkab Athletic Club Marrakech,1504
2004-09-18,Itihad Zemmouri de Khemisset,1481
2004-09-18,CODM Meknes,1518
2004-09-18,Ittihad Tanger,1467
2004-09-18,Wydad Athletic Club,1531
2004-09-18,UTS Union Touarga Sport Rabat,1496
2004-09-18,Jeunesse Sportive El Massira,1504
2004-09-19,Maghreb de Fes,1481
2004-09-19,FAR Rabat,1518
2004-09-25,CODM Meknes,1513
2004-09-25,UTS Union Touarga Sport Rabat,1500
2004-09-25,Kawkab Athletic Club Marrakech,1499
2004-09-25,Itihad Zemmouri de Khemisset,1485
2004-09-26,Wydad Athletic Club,1545
2004-09-26,Olympique Club De Khouribga,1496
2004-09-26,FAR Rabat,1528
2004-09-26,Chabab Mohammedia,1500
2004-09-26,Mouloudia Oujda,1507
2004-09-26,Raja Club Athletic,1500
2004-09-26,Olympique Club de Safi,1487
2004-09-26,Hassania Union Sport Agadir,1499
2004-09-26,Jeunesse Sportive El Massira,1513
2004-09-26,Ittihad Tanger,1458
2004-09-26,Kenitra AC,1405
2004-09-26,Fath Nador,1395
2004-09-26,RSS Renaissance Settat,1403
2004-09-26,Difaa Hassani El Jadidi,1397
2004-09-26,Wydad de Fes,1403
2004-09-26,USYM Union Yaacub Mansour,1397
2004-09-26,Fath Union Sport de Rabat,1403
2004-09-26,Youssoufia Berrechid,1397
2004-09-26,Renaissance de Berkane,1406
2004-09-26,USM Mohammedia,1394
2004-09-26,NRM Najm Marrakech,1399
2004-09-26,Rachad Bernoussi,1401
2004-09-26,HAN Hilal Nador,1403
2004-09-26,Stade Marocain,1397
2004-09-26,Racing Casablanca,1399
2004-09-26,Moghreb Tetouan,1401
2004-09-29,AS Sale,1495
2004-09-29,Maghreb de Fes,1471
2004-10-03,Wydad Athletic Club,1540
2004-10-03,Jeunesse Sportive El Massira,1518
2004-10-03,Ittihad Tanger,1457
2004-10-03,CODM Meknes,1514
2004-10-03,UTS Union Touarga Sport Rabat,1510
2004-10-03,Kawkab Athletic Club Marrakech,1489
2004-10-03,Hassania Union Sport Agadir,1496
2004-10-03,FAR Rabat,1530
2004-10-03,Chabab Mohammedia,1510
2004-10-03,AS Sale,1485
2004-10-03,Maghreb de Fes,1469
2004-10-03,Mouloudia Oujda,1509
2004-10-03,Olympique Club De Khouribga,1506
2004-10-03,Raja Club Athletic,1490
2004-10-03,Itihad Zemmouri de Khemisset,1495
2004-10-03,Olympique Club de Safi,1477
2004-10-03,Fath Nador,1398
2004-10-03,RSS Renaissance Settat,1400
2004-10-03,Rachad Bernoussi,1390
2004-10-03,Kenitra AC,1415
2004-10-03,Youssoufia Berrechid,1400
2004-10-03,NRM Najm Marrakech,1396
2004-10-03,USM Mohammedia,1388
2004-10-03,Fath Union Sport de Rabat,1409
2004-10-03,Difaa Hassani El Jadidi,1396
2004-10-03,HAN Hilal Nador,1404
2004-10-03,Moghreb Tetouan,1404
2004-10-03,Wydad de Fes,1400
2004-10-03,Stade Marocain,1400
2004-10-03,Racing Casablanca,1396
2004-10-03,USYM Union Yaacub Mansour,1391
2004-10-03,Renaissance de Berkane,1412
2004-10-09,Jeunesse Sportive El Massira,1536
2004-10-09,Olympique Club De Khouribga,1490
2004-10-09,Kawkab Athletic Club Marrakech,1484
2004-10-09,Ittihad Tanger,1462
2004-10-09,Olympique Club de Safi,1460
2004-10-09,UTS Union Touarga Sport Rabat,1527
2004-10-09,AS Sale,1496
2004-10-09,Hassania Union Sport Agadir,1486
2004-10-09,Mouloudia Oujda,1490
2004-10-09,Chabab Mohammedia,1528
2004-10-09,Raja Club Athletic,1504
2004-10-09,Maghreb de Fes,1455
2004-10-09,CODM Meknes,1525
2004-10-09,Wydad Athletic Club,1529
2004-10-09,FAR Rabat,1525
2004-10-09,Itihad Zemmouri de Khemisset,1500
2004-10-09,Fath Nador,1401
2004-10-09,Rachad Bernoussi,1387
2004-10-09,Kenitra AC,1414
2004-10-09,Youssoufia Berrechid,1401
2004-10-09,NRM Najm Marrakech,1401
2004-10-09,USM Mohammedia,1383
2004-10-09,Fath Union Sport de Rabat,1408
2004-10-09,USYM Union Yaacub Mansour,1392
2004-10-09,Renaissance de Berkane,1411
2004-10-09,Moghreb Tetouan,1405
2004-10-09,Racing Casablanca,1401
2004-10-09,Difaa Hassani El Jadidi,1391
2004-10-09,Wydad de Fes,1399
2004-10-09,Stade Marocain,1401
2004-10-09,RSS Renaissance Settat,1403
2004-10-09,HAN Hilal Nador,1401
2004-10-16,Hassania Union Sport Agadir,1502
2004-10-16,Mouloudia Oujda,1475
2004-10-16,Chabab Mohammedia,1523
2004-10-16,Raja Club Athletic,1508
2004-10-16,Wydad Athletic Club,1542
2004-10-16,Kawkab Athletic Club Marrakech,1472
2004-10-17,Olympique Club De Khouribga,1485
2004-10-17,Maghreb de Fes,1460
2004-10-17,Jeunesse Sportive El Massira,1532
2004-10-17,CODM Meknes,1529
2004-10-17,UTS Union Touarga Sport Rabat,1523
2004-10-17,FAR Rabat,1529
2004-10-17,Ittihad Tanger,1458
2004-10-17,Olympique Club de Safi,1464
2004-10-17,Itihad Zemmouri de Khemisset,1496
2004-10-17,AS Sale,1500
2004-10-17,Rachad Bernoussi,1386
2004-10-17,RSS Renaissance Settat,1404
2004-10-17,HAN Hilal Nador,1407
2004-10-17,Racing Casablanca,1395
2004-10-17,USM Mohammedia,1378
2004-10-17,Kenitra AC,1419
2004-10-17,USYM Union Yaacub Mansour,1395
2004-10-17,NRM Najm Marrakech,1398
2004-10-17,Difaa Hassani El Jadidi,1394
2004-10-17,Wydad de Fes,1396
2004-10-17,Stade Marocain,1400
2004-10-17,Renaissance de Berkane,1412
2004-10-17,Moghreb Tetouan,1404
2004-10-17,Fath Union Sport de Rabat,1409
2004-10-17,Youssoufia Berrechid,1400
2004-10-17,Fath Nador,1402
2004-10-23,CODM Meknes,1542
2004-10-23,Olympique Club De Khouribga,1473
2004-10-23,Olympique Club de Safi,1464
2004-10-23,Wydad Athletic Club,1542
2004-10-23,AS Sale,1511
2004-10-23,UTS Union Touarga Sport Rabat,1512
2004-10-23,FAR Rabat,1523
2004-10-23,Ittihad Tanger,1464
2004-10-23,Raja Club Athletic,1523
2004-10-23,Hassania Union Sport Agadir,1488
2004-10-23,Maghreb de Fes,1473
2004-10-23,Chabab Mohammedia,1511
2004-10-24,Kawkab Athletic Club Marrakech,1456
2004-10-24,Jeunesse Sportive El Massira,1548
2004-10-24,Mouloudia Oujda,1492
2004-10-24,Itihad Zemmouri de Khemisset,1480
2004-10-24,Rachad Bernoussi,1392
2004-10-24,Youssoufia Berrechid,1394
2004-10-24,Fath Union Sport de Rabat,1414
2004-10-24,Stade Marocain,1395
2004-10-24,NRM Najm Marrakech,1404
2004-10-24,Moghreb Tetouan,1398
2004-10-24,Fath Nador,1401
2004-10-24,USM Mohammedia,1379
2004-10-24,RSS Renaissance Settat,1409
2004-10-24,Racing Casablanca,1390
2004-10-24,Wydad de Fes,1395
2004-10-24,HAN Hilal Nador,1408
2004-10-24,Renaissance de Berkane,1400
2004-10-24,Difaa Hassani El Jadidi,1406
2004-10-24,Kenitra AC,1418
2004-10-24,USYM Union Yaacub Mansour,1396
2004-10-30,CODM Meknes,1553
2004-10-30,Kawkab Athletic Club Marrakech,1446
2004-10-30,Jeunesse Sportive El Massira,1526
2004-10-30,Olympique Club de Safi,1485
2004-10-31,Ittihad Tanger,1483
2004-10-31,AS Sale,1494
2004-10-31,UTS Union Touarga Sport Rabat,1522
2004-10-31,Mouloudia Oujda,1483
2004-10-31,Hassania Union Sport Agadir,1484
2004-10-31,Maghreb de Fes,1477
2004-10-31,Olympique Club De Khouribga,1491
2004-10-31,Chabab Mohammedia,1494
2004-10-31,Itihad Zemmouri de Khemisset,1492
2004-10-31,Raja Club Athletic,1511
2004-10-31,Wydad Athletic Club,1552
2004-10-31,FAR Rabat,1514
2004-10-31,Stade Marocain,1389
2004-10-31,NRM Najm Marrakech,1410
2004-10-31,USYM Union Yaacub Mansour,1399
2004-10-31,Fath Nador,1398
2004-10-31,Difaa Hassani El Jadidi,1405
2004-10-31,Fath Union Sport de Rabat,1415
2004-10-31,Moghreb Tetouan,1397
2004-10-31,Kenitra AC,1419
2004-10-31,Racing Casablanca,1395
2004-10-31,Wydad de Fes,1390
2004-10-31,Youssoufia Berrechid,1400
2004-10-31,RSS Renaissance Settat,1403
2004-10-31,HAN Hilal Nador,1411
2004-10-31,Renaissance de Berkane,1397
2004-10-31,USM Mohammedia,1384
2004-10-31,Rachad Bernoussi,1387
2004-11-06,Kawkab Athletic Club Marrakech,1444
2004-11-06,Olympique Club De Khouribga,1493
2004-11-06,FAR Rabat,1533
2004-11-06,Jeunesse Sportive El Massira,1508
2004-11-06,Maghreb de Fes,1494
2004-11-06,Itihad Zemmouri de Khemisset,1476
2004-11-07,Chabab Mohammedia,1490
2004-11-07,Hassania Union Sport Agadir,1488
2004-11-07,AS Sale,1469
2004-11-07,Wydad Athletic Club,1575
2004-11-07,Mouloudia Oujda,1479
2004-11-07,Ittihad Tanger,1487
2004-11-07,Raja Club Athletic,1522
2004-11-07,UTS Union Touarga Sport Rabat,1512
2004-11-07,Olympique Club de Safi,1498
2004-11-07,CODM Meknes,1540
2004-11-07,Youssoufia Berrechid,1399
2004-11-07,USM Mohammedia,1385
2004-11-07,Fath Nador,1397
2004-11-07,Moghreb Tetouan,1398
2004-11-07,Fath Union Sport de Rabat,1421
2004-11-07,HAN Hilal Nador,1405
2004-11-07,Kenitra AC,1418
2004-11-07,Stade Marocain,1390
2004-11-07,RSS Renaissance Settat,1402
2004-11-07,Wydad de Fes,1391
2004-11-07,NRM Najm Marrakech,1409
2004-11-07,Difaa Hassani El Jadidi,1406
2004-11-07,Renaissance de Berkane,1403
2004-11-07,Racing Casablanca,1389
2004-11-07,Rachad Bernoussi,1390
2004-11-07,USYM Union Yaacub Mansour,1396
2004-11-19,Wydad Athletic Club,1582
2004-11-19,Mouloudia Oujda,1472
2004-11-20,CODM Meknes,1536
2004-11-20,FAR Rabat,1537
2004-11-21,Kawkab Athletic Club Marrakech,1419
2004-11-21,Olympique Club de Safi,1521
2004-11-21,Ittihad Tanger,1499
2004-11-21,Raja Club Athletic,1511
2004-11-21,UTS Union Touarga Sport Rabat,1508
2004-11-21,Maghreb de Fes,1498
2004-11-21,Itihad Zemmouri de Khemisset,1473
2004-11-21,Chabab Mohammedia,1493
2004-11-21,Olympique Club De Khouribga,1489
2004-11-21,Hassania Union Sport Agadir,1492
2004-11-21,Jeunesse Sportive El Massira,1524
2004-11-21,AS Sale,1454
2004-11-21,USM Mohammedia,1384
2004-11-21,RSS Renaissance Settat,1403
2004-11-21,USYM Union Yaacub Mansour,1390
2004-11-21,Youssoufia Berrechid,1405
2004-11-21,Stade Marocain,1393
2004-11-21,Fath Nador,1394
2004-11-21,HAN Hilal Nador,1404
2004-11-21,NRM Najm Marrakech,1410
2004-11-21,Wydad de Fes,1385
2004-11-21,Renaissance de Berkane,1409
2004-11-21,Difaa Hassani El Jadidi,1405
2004-11-21,Kenitra AC,1419
2004-11-21,Moghreb Tetouan,1401
2004-11-21,Rachad Bernoussi,1387
2004-11-21,Racing Casablanca,1384
2004-11-21,Fath Union Sport de Rabat,1426
2004-11-28,Youssoufia Berrechid,1410
2004-11-28,Moghreb Tetouan,1396
2004-11-28,Rachad Bernoussi,1390
2004-11-28,Stade Marocain,1390
2004-11-28,Fath Nador,1385
2004-11-28,Difaa Hassani El Jadidi,1414
2004-11-28,Kenitra AC,1422
2004-11-28,HAN Hilal Nador,1401
2004-11-28,NRM Najm Marrakech,1409
2004-11-28,Racing Casablanca,1385
2004-11-28,Fath Union Sport de Rabat,1429
2004-11-28,Wydad de Fes,1382
2004-11-28,RSS Renaissance Settat,1406
2004-11-28,Renaissance de Berkane,1406
2004-11-28,USM Mohammedia,1387
2004-11-28,USYM Union Yaacub Mansour,1387
2004-12-04,FAR Rabat,1543
2004-12-04,Kawkab Athletic Club Marrakech,1413
2004-12-05,AS Sale,1468
2004-12-05,CODM Meknes,1523
2004-12-05,Raja Club Athletic,1510
2004-12-05,Wydad Athletic Club,1583
2004-12-05,Mouloudia Oujda,1470
2004-12-05,Jeunesse Sportive El Massira,1525
2004-12-05,Maghreb de Fes,1508
2004-12-05,Ittihad Tanger,1489
2004-12-05,Hassania Union Sport Agadir,1488
2004-12-05,Itihad Zemmouri de Khemisset,1477
2004-12-05,Olympique Club de Safi,1535
2004-12-05,Olympique Club De Khouribga,1476
2004-12-05,Chabab Mohammedia,1504
2004-12-05,UTS Union Touarga Sport Rabat,1498
2004-12-05,USYM Union Yaacub Mansour,1386
2004-12-05,RSS Renaissance Settat,1407
2004-12-05,Moghreb Tetouan,1399
2004-12-05,USM Mohammedia,1384
2004-12-05,Stade Marocain,1381
2004-12-05,Youssoufia Berrechid,1419
2004-12-05,Difaa Hassani El Jadidi,1418
2004-12-05,Rachad Bernoussi,1386
2004-12-05,HAN Hilal Nador,1400
2004-12-05,Fath Nador,1386
2004-12-05,Racing Casablanca,1385
2004-12-05,Kenitra AC,1422
2004-12-05,Wydad de Fes,1381
2004-12-05,NRM Najm Marrakech,1410
2004-12-05,Renaissance de Berkane,1405
2004-12-05,Fath Union Sport de Rabat,1430
2004-12-11,Olympique Club de Safi,1532
2004-12-11,FAR Rabat,1546
2004-12-11,Youssoufia Berrechid,1410
2004-12-11,Difaa Hassani El Jadidi,1427
2004-12-11,NRM Najm Marrakech,1404
2004-12-11,Renaissance de Berkane,1411
2004-12-12,Kawkab Athletic Club Marrakech,1426
2004-12-12,AS Sale,1456
2004-12-12,CODM Meknes,1517
2004-12-12,Mouloudia Oujda,1475
2004-12-12,Wydad Athletic Club,1577
2004-12-12,Maghreb de Fes,1514
2004-12-12,Jeunesse Sportive El Massira,1506
2004-12-12,Raja Club Athletic,1529
2004-12-12,Ittihad Tanger,1500
2004-12-12,Chabab Mohammedia,1494
2004-12-12,UTS Union Touarga Sport Rabat,1513
2004-12-12,Hassania Union Sport Agadir,1474
2004-12-12,Olympique Club De Khouribga,1457
2004-12-12,Itihad Zemmouri de Khemisset,1495
2004-12-12,USYM Union Yaacub Mansour,1380
2004-12-12,Moghreb Tetouan,1405
2004-12-12,USM Mohammedia,1383
2004-12-12,Stade Marocain,1382
2004-12-12,Rachad Bernoussi,1385
2004-12-12,HAN Hilal Nador,1401
2004-12-12,Fath Nador,1389
